step_idx,phase,topology,mean_coverage,min_coverage,max_coverage,mean_agent_rmse,median_agent_rmse,best_agent_rmse,worst_agent_rmse,mean_normalized_l1_error,exact_match_agents,full_coverage_agents,vote_top_ratio,vote_rmse,average_rmse,Topology,Agents,Seed
0,after_step,static_exponential,0.5,0.5,0.5,2.9492664424050723,2.9482197238005674,2.935302369433173,2.965130688519479,0.5,0,0,0.125,2.935302369433173,,static_exponential,8,1
1,after_step,static_exponential,0.875,0.875,0.875,1.0071913313239926,1.008959738750944,0.9904544411531506,1.0183319694480772,0.125,0,0,0.125,1.0183319694480772,,static_exponential,8,1
2,after_step,static_exponential,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8,8,1.0,0.0,0.0,static_exponential,8,1
-1,initial,static_exponential,0.0625,0.0624,0.0626,5.147895230340662,5.149514539997248,5.133030294085551,5.1613951602255765,0.9375,0,0,0.0625,5.145774965930788,,static_exponential,16,1
0,after_step,static_exponential,0.3125,0.3122,0.3128,3.8938226894703933,3.8921071179298696,3.874274125562103,3.9120327196995683,0.6875,0,0,0.0625,3.887286971655167,,static_exponential,16,1
1,after_step,static_exponential,0.6875,0.6872,0.6878,1.9951958486703678,1.9936127209982772,1.9738287666360523,2.0255863348670182,0.3125,0,0,0.0625,1.9859506539690255,,static_exponential,16,1
2,after_step,static_exponential,0.9375,0.9374,0.9376,0.6417103584881425,0.6422615109788168,0.623698645180507,0.6587867636800242,0.0625,0,0,0.0625,0.6488451279003333,,static_exponential,16,1
3,after_step,static_exponential,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16,16,1.0,0.0,0.0,static_exponential,16,1
-1,initial,static_exponential,0.03125,0.0312,0.0314,5.304087636472071,5.305186141043255,5.288099847771409,5.316013544000805,0.96875,0,0,0.03125,5.309048879036621,,static_exponential,32,1
0,after_step,static_exponential,0.1875,0.1872,0.188,4.522471700466213,4.5207300295416895,4.504886236077444,4.542246140402345,0.8125,0,0,0.03125,4.5207300295416895,,static_exponential,32,1
1,after_step,static_exponential,0.5,0.4994,0.5006,2.9526292929968854,2.9529644372883643,2.9197602641312868,2.9795972882253734,0.5,0,0,0.03125,2.957025532524195,,static_exponential,32,1
2,after_step,static_exponential,0.8125,0.812,0.8128,1.3482224698606555,1.3475903911555585,1.3152946437965904,1.380217374184226,0.1875,0,0,0.03125,1.3583077707206126,,static_exponential,32,1
3,after_step,static_exponential,0.96875,0.9686,0.9688,0.42522460216812435,0.42485250821779075,0.408656334834051,0.4505552130427524,0.03125,0,0,0.03125,0.42544094772365293,,static_exponential,32,1
4,after_step,static_exponential,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32,32,1.0,0.0,0.0,static_exponential,32,1
-1,initial,one_peer_exponential,0.25,0.25,0.25,4.205466826264592,4.203926720660952,4.19738013527486,4.216633728461603,0.75,0,0,0.25,4.20356991139674,,one_peer_exponential,4,1
0,after_step,one_peer_exponential,0.5,0.5,0.5,2.9421812774323577,2.9412576397338954,2.931552489722809,2.9546573405388314,0.5,0,0,0.25,2.931552489722809,,one_peer_exponential,4,1
1,after_step,one_peer_exponential,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4,4,1.0,0.0,0.0,one_peer_exponential,4,1
-1,initial,one_peer_exponential,0.125,0.125,0.125,4.83491264455169,4.837251126566887,4.815080477001397,4.85025772511111,0.875,0,0,0.125,4.85025772511111,,one_peer_exponential,8,1
0,after_step,one_peer_exponential,0.25,0.25,0.25,4.205817058133671,4.202618123753368,4.1957120968913015,4.2275288289969115,0.75,0,0,0.125,4.1957120968913015,,one_peer_exponential,8,1
1,after_step,one_peer_exponential,0.5,0.5,0.5,2.942219653172565,2.9385369278267452,2.931552489722809,2.960743149954079,0.5,0,0,0.125,2.9376861643136762,,one_peer_exponential,8,1
2,after_step,one_peer_exponential,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8,8,1.0,0.0,0.0,one_peer_exponential,8,1
-1,initial,one_peer_exponential,0.0625,0.0624,0.0626,5.147895230340662,5.149514539997248,5.133030294085551,5.1613951602255765,0.9375,0,0,0.0625,5.145774965930788,,one_peer_exponential,16,1
0,after_step,one_peer_exponential,0.125,0.1248,0.1252,4.83473587342329,4.836889416551695,4.816014950142908,4.851185422141685,0.875,0,0,0.0625,4.840247927534291,,one_peer_exponential,16,1
1,after_step,one_peer_exponential,0.25,0.2496,0.2504,4.205863794420585,4.203212974215895,4.1957120968913015,4.229420764123617,0.75,0,0,0.0625,4.199642841956921,,one_peer_exponential,16,1
2,after_step,one_peer_exponential,0.5,0.4992,0.5008,2.943350372849315,2.9438919510926462,2.930870177950569,2.9631064780058107,0.5,0,0,0.0625,2.9375159574034657,,one_peer_exponential,16,1
3,after_step,one_peer_exponential,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16,16,1.0,0.0,0.0,one_peer_exponential,16,1
-1,initial,one_peer_exponential,0.03125,0.0312,0.0314,5.304087636472071,5.305186141043255,5.288099847771409,5.316013544000805,0.96875,0,0,0.03125,5.309048879036621,,one_peer_exponential,32,1
0,after_step,one_peer_exponential,0.0625,0.0624,0.0628,5.147932829079837,5.149271792260667,5.133030294085551,5.1613951602255765,0.9375,0,0,0.03125,5.145872132107443,,one_peer_exponential,32,1
1,after_step,one_peer_exponential,0.125,0.1248,0.1256,4.834879217866507,4.835235244433219,4.816014950142908,4.851185422141685,0.875,0,0,0.03125,4.840247927534291,,one_peer_exponential,32,1
2,after_step,one_peer_exponential,0.25,0.2496,0.2512,4.206182267233384,4.204402452888797,4.188913940390755,4.229420764123617,0.75,0,0,0.03125,4.204521375852429,,one_peer_exponential,32,1
3,after_step,one_peer_exponential,0.5,0.4992,0.5008,2.944569822038898,2.943637201006316,2.9281393409467387,2.965805118344764,0.5,0,0,0.03125,2.9363242327781176,,one_peer_exponential,32,1
4,after_step,one_peer_exponential,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32,32,1.0,0.0,0.0,one_peer_exponential,32,1
-1,initial,chain,0.25,0.25,0.25,4.2190548145138935,4.22101762268287,4.205472625044657,4.228711387645177,0.75,0,0,0.25,4.205472625044657,,chain,4,2
0,after_step,chain,0.3125,0.25,0.5,3.9031796971734027,4.214844264308884,2.9543188724306657,4.228711387645177,0.6875,0,0,0.25,4.205472625044657,,chain,4,2
1,after_step,chain,0.4375,0.25,0.75,3.2630584081418332,3.5798957487376617,1.6637307474468337,4.228711387645177,0.5625,0,0,0.25,4.205472625044657,,chain,4,2
2,after_step,chain,0.625,0.25,1.0,2.205880561230539,2.30902480993875,0.0,4.205472625044657,0.375,1,1,0.25,4.205472625044657,0.0,chain,4,2
-1,initial,chain,0.125,0.125,0.125,4.848827396483249,4.847369982179695,4.8343562136028,4.867134680692533,0.875,0,0,0.125,4.845307007816945,,chain,8,2
0,after_step,chain,0.140625,0.125,0.25,4.7683323550460255,4.844687772865045,4.205472625044657,4.867134680692533,0.859375,0,0,0.125,4.845307007816945,,chain,8,2
